"product_name_en","product_name_hi","short_name_hi","short_name_en","catalogues","pack_type","mrp","product_cost","brand_discount_type","brand_discount_value","cm_discount_type","original_cm_discount_value","cm_discount_value","marketer","brand_name","fulfillment_model","source","jit_source","super_category","primary_category","sub_category","product_type","ean_code","hsn_code","product_gst","shelf_life_days","original_moq","moq","item_size","delivery_days","lead_days","variant_identifier","discount_type","variant_grammage_unit","variant_grammage","brand_name_hi","variant_identifier_hi","product_images","variant_priority","product_description_md_en","product_description_md_hi","variant_grammage_value","vendor_product_id","is_combo","economic_segment","brand_categorisation","product_weight","return_window_days","replacement_window_days","country_of_origin"
"Trendy Printed women Tops","Trendy Printed women Tops","Trendy Printed women Tops","Trendy Printed women Tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","1h66g5-S","","","365","3","3","","","","Trendy Printed women Tops T-1h66g5","flat_off","","","","Trendy Printed women Tops T-1h66g5","https://images.meesho.com/images/products/89307941/k0avz_512.jpg,https://images.meesho.com/images/products/89307941/ygas9_512.jpg,https://images.meesho.com/images/products/89307941/wexjv_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Trendy Printed women Tops","Trendy Printed women Tops","Trendy Printed women Tops","Trendy Printed women Tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","1h66g5-M","","","365","3","3","","","","Trendy Printed women Tops T-1h66g5","flat_off","","","","Trendy Printed women Tops T-1h66g5","https://images.meesho.com/images/products/89307941/k0avz_512.jpg,https://images.meesho.com/images/products/89307941/ygas9_512.jpg,https://images.meesho.com/images/products/89307941/wexjv_512.jpg","1","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Trendy Printed women Tops","Trendy Printed women Tops","Trendy Printed women Tops","Trendy Printed women Tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","1h66g5-L","","","365","3","3","","","","Trendy Printed women Tops T-1h66g5","flat_off","","","","Trendy Printed women Tops T-1h66g5","https://images.meesho.com/images/products/89307941/k0avz_512.jpg,https://images.meesho.com/images/products/89307941/ygas9_512.jpg,https://images.meesho.com/images/products/89307941/wexjv_512.jpg","2","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Trendy Printed women Tops","Trendy Printed women Tops","Trendy Printed women Tops","Trendy Printed women Tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","1h66g5-XL","","","365","3","3","","","","Trendy Printed women Tops T-1h66g5","flat_off","","","","Trendy Printed women Tops T-1h66g5","https://images.meesho.com/images/products/89307941/k0avz_512.jpg,https://images.meesho.com/images/products/89307941/ygas9_512.jpg,https://images.meesho.com/images/products/89307941/wexjv_512.jpg","3","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Stylish Graceful women tops","Stylish Graceful women tops","Stylish Graceful women tops","Stylish Graceful women tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","1uzh17-S","","","365","3","3","","","","Stylish Graceful women tops S-1uzh17","flat_off","","","","Stylish Graceful women tops S-1uzh17","https://images.meesho.com/images/products/112509691/m39y6_512.jpg,https://images.meesho.com/images/products/112509691/z5brn_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Stylish Graceful women tops","Stylish Graceful women tops","Stylish Graceful women tops","Stylish Graceful women tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","1uzh17-M","","","365","3","3","","","","Stylish Graceful women tops S-1uzh17","flat_off","","","","Stylish Graceful women tops S-1uzh17","https://images.meesho.com/images/products/112509691/m39y6_512.jpg,https://images.meesho.com/images/products/112509691/z5brn_512.jpg","1","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Stylish Graceful women tops","Stylish Graceful women tops","Stylish Graceful women tops","Stylish Graceful women tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","1uzh17-L","","","365","3","3","","","","Stylish Graceful women tops S-1uzh17","flat_off","","","","Stylish Graceful women tops S-1uzh17","https://images.meesho.com/images/products/112509691/m39y6_512.jpg,https://images.meesho.com/images/products/112509691/z5brn_512.jpg","2","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Stylish Graceful women tops","Stylish Graceful women tops","Stylish Graceful women tops","Stylish Graceful women tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","1uzh17-XL","","","365","3","3","","","","Stylish Graceful women tops S-1uzh17","flat_off","","","","Stylish Graceful women tops S-1uzh17","https://images.meesho.com/images/products/112509691/m39y6_512.jpg,https://images.meesho.com/images/products/112509691/z5brn_512.jpg","3","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","14um3y-S","","","365","3","3","","","","Trendy Casual Short Sleeve Solid Women Tops T-14um3y","flat_off","","","","Trendy Casual Short Sleeve Solid Women Tops T-14um3y","https://images.meesho.com/images/products/68612974/wov0a_512.jpg,https://images.meesho.com/images/products/68612974/kuuzp_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","14um3y-M","","","365","3","3","","","","Trendy Casual Short Sleeve Solid Women Tops T-14um3y","flat_off","","","","Trendy Casual Short Sleeve Solid Women Tops T-14um3y","https://images.meesho.com/images/products/68612974/wov0a_512.jpg,https://images.meesho.com/images/products/68612974/kuuzp_512.jpg","1","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","14um3y-L","","","365","3","3","","","","Trendy Casual Short Sleeve Solid Women Tops T-14um3y","flat_off","","","","Trendy Casual Short Sleeve Solid Women Tops T-14um3y","https://images.meesho.com/images/products/68612974/wov0a_512.jpg,https://images.meesho.com/images/products/68612974/kuuzp_512.jpg","2","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","Trendy Casual Short Sleeve Solid Women Tops","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Western Wear","Tops","14um3y-XL","","","365","3","3","","","","Trendy Casual Short Sleeve Solid Women Tops T-14um3y","flat_off","","","","Trendy Casual Short Sleeve Solid Women Tops T-14um3y","https://images.meesho.com/images/products/68612974/wov0a_512.jpg,https://images.meesho.com/images/products/68612974/kuuzp_512.jpg","3","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
