sku_id,catalogues,product_status
CM10000001,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000002,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000003,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000004,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000005,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000006,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000007,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000008,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000009,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000010,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
